名称,住所,緯度,経度
吉田方防災備蓄倉庫,高洲町字高洲122,34.7635,137.3682
北山防災備蓄倉庫,北山町95-15,34.769,137.3875
岩田防災備蓄倉庫,岩田町1-2,34.7658,137.4263
高師防災備蓄倉庫,高師町字北原1-1,34.7112,137.3867
幸防災備蓄倉庫,佐藤町字池下49,34.7305,137.3921
牛川防災備蓄倉庫,西小鷹野四丁目1-1,34.7754,137.4178
総合スポーツ公園防災備蓄倉庫,神野新田町字メノ割1-3,34.7246,137.3899
豊橋公園防災備蓄倉庫,今橋町4,34.7692,137.3915
野依防災備蓄倉庫,野依町字諏訪149-1,34.6638,137.3632
向山防災備蓄倉庫,向山町字池下37-1,34.7556,137.3933
防災ひろば防災備蓄倉庫,西小田原町138,34.7642,137.3869
大村防災備蓄倉庫,大村町字地之神3,34.7732,137.3745
道の駅とよはし防災備蓄倉庫,東七根町字稲場41-4,34.6485,137.451
